case_id,scenario_id,case_name,case_type,common_random_group,spatial_rho,target_shift,overlap,fitted_graph,measurement_error,measurement_lambda,confounding,outcome_form,endpoint_structure,residual_law,primary_target_mode,primary_target_dose,primary_bandwidth,support_scale,measurement_substrate_lambda,target_design_mode,target_design_delta,temporal_dependence,calibration_subsample_fraction
MDB_S1_BASE,S1,weak shift and negligible dependence,scenario,MDB_S1_BASE,0.0,weak,good,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,iid_continuous,localized,0.5,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S2_SPATIAL,S2,spatial dependence only,scenario,MDB_S2_SPATIAL,0.6,none,good,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,observational,,,90m_primary,0.0,identity,0.0,False,1.0
MDB_S3_SHIFT,S3,treatment shift only,scenario,MDB_S3_SHIFT,0.0,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,iid_continuous,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO000,S4,combined shift rho=0.0,scenario_factor,MDB_S4_COMMON,0.0,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO020,S4,combined shift rho=0.2,scenario_factor,MDB_S4_COMMON,0.2,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO040,S4,combined shift rho=0.4,scenario_factor,MDB_S4_COMMON,0.4,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO060,S4,combined shift rho=0.6,scenario_factor,MDB_S4_COMMON,0.6,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO080,S4,combined shift rho=0.8,scenario_factor,MDB_S4_COMMON,0.8,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO060_NONGAUSSIAN,S4,non-Gaussian graph-law validation,residual_law_validation,MDB_S4_COMMON,0.6,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,transformed_gmrf_power_1_5,localized,0.9,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S4_RHO060_DESIGN_SHIFT,S4,finite-frame nonidentity target-design shift,target_design_transport_validation,MDB_S4_COMMON,0.6,strong,moderate,true_queen,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.9,0.1,90m_primary,0.0,finite_exponential_tilt,0.75,False,1.0
MDB_S5_POOR_OVERLAP,S5,poor overlap and endpoint target,scenario,MDB_S5_POOR_OVERLAP,0.4,tail,poor,true_queen,none,0.0,observed_strong,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,1.0,,90m_primary,0.0,identity,0.0,False,1.0
MDB_S6_ROOK,S6,rook working graph misspecification,graph_misspecification,MDB_S6_COMMON,0.6,moderate,moderate,rook,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S6_OMIT50,S6,50% deterministic edge omission,graph_misspecification,MDB_S6_COMMON,0.6,moderate,moderate,queen_omit50,none,0.0,observed_moderate,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.75,0.1,90m_primary,0.0,identity,0.0,False,1.0
MDB_S7_EXCHANGEABLE,S7,benign exchangeable observational target,scenario,MDB_S7_EXCHANGEABLE,0.0,none,good,true_queen,none,0.0,observed_none,linear,mixed_atoms_0_1,iid_continuous,observational,,,90m_primary,0.0,identity,0.0,False,1.0
MDB_S8_SEVERE_TAIL,S8,severe tail concentration,scenario_failure,MDB_S8_SEVERE_TAIL,0.6,outside_near_boundary,severe,true_queen,none,0.0,observed_strong,nonlinear,mixed_atoms_0_1,gaussian_gmrf,localized,0.98,0.1,90m_primary,0.0,identity,0.0,False,1.0
