case_id,scenario_id,common_random_group,replication,covariate_seed,treatment_seed,residual_seed,measurement_seed,target_draw_seed,exact_audit_seed,graph_seed,temporal_seed
MDB_S1_BASE,S1,MDB_S1_BASE,1,1217981895,1065985457,1828915619,1501745591,2114916671,1040768265,1049260460,2024174779
MDB_S1_BASE,S1,MDB_S1_BASE,2,1993314255,1601871824,1653085572,6811288,1043554449,1656026695,1721719052,930495512
MDB_S1_BASE,S1,MDB_S1_BASE,3,484853052,1571915340,1492689158,1220838201,691207347,1098987574,1021056521,1233111720
MDB_S1_BASE,S1,MDB_S1_BASE,4,27948881,500015171,1426615091,1539949780,735311750,859836841,1302949220,2081446671
MDB_S1_BASE,S1,MDB_S1_BASE,5,1109020082,1559963196,925413097,1857366924,121059352,884480841,1556717256,394559113
MDB_S1_BASE,S1,MDB_S1_BASE,6,2147209343,2064465719,1804333374,655878977,1960416556,559851218,1358413503,2144816824
MDB_S1_BASE,S1,MDB_S1_BASE,7,110289386,2120992279,2060835651,654357417,2039018186,1891090373,2088444934,1779631732
MDB_S1_BASE,S1,MDB_S1_BASE,8,88653313,918126780,843095695,935853071,668825606,975753594,212299067,1976919839
MDB_S1_BASE,S1,MDB_S1_BASE,9,213158372,1797287830,826085901,1260630257,930671542,1928500336,1237797853,1099572533
MDB_S1_BASE,S1,MDB_S1_BASE,10,1811096268,788311211,1303841423,1841344859,1320827231,1989146347,1264849216,35996710
MDB_S1_BASE,S1,MDB_S1_BASE,11,636113848,885698139,1148414259,270081198,290077288,456778366,1891604677,1104089955
MDB_S1_BASE,S1,MDB_S1_BASE,12,436408541,959977594,1098578122,258810791,147244870,1474207528,1382867959,710592001
MDB_S1_BASE,S1,MDB_S1_BASE,13,1603771966,195252518,1435051581,772715638,495680116,1107067424,1660331868,799320036
MDB_S1_BASE,S1,MDB_S1_BASE,14,1529302579,950794760,1811827597,1292524,1432651175,958909351,1424913892,585065000
MDB_S1_BASE,S1,MDB_S1_BASE,15,1369483632,39477913,151935145,1657567579,1204792533,45362858,1014214473,206234855
MDB_S1_BASE,S1,MDB_S1_BASE,16,551588995,1699668230,4012789,1214484991,1835020618,933408237,15857788,31971837
MDB_S1_BASE,S1,MDB_S1_BASE,17,1090796633,1216267758,397394291,15816493,1712763562,925010340,1923571968,350292882
MDB_S1_BASE,S1,MDB_S1_BASE,18,1009817506,1074231591,1044775545,1628739293,902608552,752189483,1887711422,730962112
MDB_S1_BASE,S1,MDB_S1_BASE,19,1103041961,777898527,254962392,626613762,1447425546,1422980784,1633091189,1950711259
MDB_S1_BASE,S1,MDB_S1_BASE,20,640683582,1262565718,1335027448,884318196,243240431,1097734062,1859007140,972348110
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,1,743654443,18921839,1464324969,1201867473,806526753,1766376534,931842891,1605680882
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,2,995390134,154850311,777248783,2074569012,83287000,883518624,1819882485,431622305
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,3,2008335093,1305318777,1299824723,1210512558,2146996065,1399868955,1434311023,965780000
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,4,1933828529,1118015749,1410378690,1165883089,593403131,1660556373,1533604467,1171635749
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,5,1229612357,571174907,226557085,1022022505,1500581853,111673838,318674402,1097730293
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,6,1830166588,602727769,1558016702,302196530,1392872802,2069626788,333838153,1517180868
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,7,1621935835,1695536903,170448234,27696078,1120389328,1534588763,1211778116,490158617
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,8,500077164,22821960,1159735028,68150014,1726228975,916024676,2018702216,193862152
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,9,279570305,1617112959,1671760248,1181249700,1308168583,1869758006,574646419,1258537524
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,10,2114404523,613652683,681702253,995442186,309703616,68989452,993121495,1825307799
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,11,1045993457,867065127,237309824,569863649,138071227,1670469078,1636650939,166275293
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,12,1548763043,1789612468,218867599,1319257502,1676993154,1622315692,1700175858,1110125938
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,13,275885876,1808017810,641055494,1806519351,1864391883,2067588376,407022194,1040070094
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,14,2126514897,585171109,1175388980,1708534858,975328737,1252566188,1172484013,495316458
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,15,453609239,1423292479,308262316,1801107747,1529287606,316577296,1189636845,128013674
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,16,91340036,1134624545,1347027004,2091812785,793902496,366778495,224796910,1081829979
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,17,40031330,1098303956,796773246,146292030,123814377,2024268731,1643262427,1523019728
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,18,1115747401,1886635577,1791338990,1990089366,135560540,1001458133,1973084348,76448422
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,19,791761348,1533663649,2059701283,1426505468,1237926499,1425850677,1919382884,754000209
MDB_S2_SPATIAL,S2,MDB_S2_SPATIAL,20,785447995,1686095082,1574035687,391667906,833459352,10693952,181714597,989391967
