source_family,source_id,product_id,year,variable,depth_cm,stable_citation_or_pid,exact_remote_data_url,exact_remote_metadata_url,service_rest,dataset_pid,aoi_or_derived_sha256,metadata_sha256,note
SILO,SILO_daily_rain_2023,,2023,daily_rain,,,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/daily_rain/2023.daily_rain.nc,,,,3ffb6f8885e56f4551f040e39007b3c79386c134998e97a3695157c5ac7c7152,,Exact frozen acquisition/provenance row from accepted Stage5A manifest
SILO,SILO_daily_rain_2024,,2024,daily_rain,,,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/daily_rain/2024.daily_rain.nc,,,,b565558d87ef2607f4690c4dcab5813f214317d4ab207fcd1ce2049521a52ae5,,Exact frozen acquisition/provenance row from accepted Stage5A manifest
SILO,SILO_et_short_crop_2023,,2023,et_short_crop,,,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/et_short_crop/2023.et_short_crop.nc,,,,c559ed9c0560c57f00fd90289b31fb268609f0c2184d88d8f10f8445a671e30f,,Exact frozen acquisition/provenance row from accepted Stage5A manifest
SILO,SILO_et_short_crop_2024,,2024,et_short_crop,,,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/et_short_crop/2024.et_short_crop.nc,,,,2b2d33d46dc1138da347763c7889f35918fe93c5fd0e3f324a280052c741ddd0,,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,SOC_000_005_EV_N_P_AU_TRN_N_20220727,SOC,,,000_005,"Wadoux, A., Dobarco, M., Malone, B., Minasny, B., McBratney, A. & Searle, R. (2024). Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2. Version 2.0. TERN. https://doi.org/10.25919/ejhm-c070",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/SOC/90m/v2/SOC_000_005_EV_N_P_AU_TRN_N_20220727.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/SOC/90m/v2/SOC_000_005_EV_N_P_AU_TRN_N_20220727.json,,,893e5bdc51a21f13f7542f1596d41bee7bc6c7331a1b085d5d994fa12da3f246,a0c1fa49fed48d06fa3fa26a1b6271a28f19b0d1aa213bead70bef3b562b6c3c,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,SOC_005_015_EV_N_P_AU_TRN_N_20220727,SOC,,,005_015,"Wadoux, A., Dobarco, M., Malone, B., Minasny, B., McBratney, A. & Searle, R. (2024). Soil and Landscape Grid National Soil Attribute Maps - Organic Carbon (3"" resolution) - Release 2. Version 2.0. TERN. https://doi.org/10.25919/ejhm-c070",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/SOC/90m/v2/SOC_005_015_EV_N_P_AU_TRN_N_20220727.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/SOC/90m/v2/SOC_005_015_EV_N_P_AU_TRN_N_20220727.json,,,30fabe5e0452f8d591d61fcd6cedef682f47d29a84b82a21cb66513328e04f4e,9b58d0cd74a4b3c69ef3dfbe8c6b6d8463df996c13244116125ee32b0f3e2d15,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,CLY_000_005_EV_N_P_AU_TRN_N_20210902,CLY,,,000_005,"Malone, B. & Searle, R. (2022). Soil and Landscape Grid National Soil Attribute Maps - Clay (3"" resolution) - Release 2. Version 2. TERN. https://doi.org/10.25919/hc4s-3130",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/CLY/v2/CLY_000_005_EV_N_P_AU_TRN_N_20210902.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/CLY/v2/CLY_000_005_EV_N_P_AU_TRN_N_20210902.json,,,4dcc03e8d28ed496cc1c8300e7f43e556235b55847d55e26706e9a1ea36f360b,5497eb09d2b20b74f1e4dcb9e1e3d5c8661c354ed0d1908af209e873d2f5b331,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,CLY_005_015_EV_N_P_AU_TRN_N_20210902,CLY,,,005_015,"Malone, B. & Searle, R. (2022). Soil and Landscape Grid National Soil Attribute Maps - Clay (3"" resolution) - Release 2. Version 2. TERN. https://doi.org/10.25919/hc4s-3130",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/CLY/v2/CLY_005_015_EV_N_P_AU_TRN_N_20210902.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/CLY/v2/CLY_005_015_EV_N_P_AU_TRN_N_20210902.json,,,ea2b83d4b7fceb849817e35dbef5f5e1c3b086839af4eef1a7c6bcf861fdcb78,3148575cdcaf911483530217acf5dfe4ce13a28ecd4e0865a5b29ba6ff8c789a,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,BDW_000_005_EV_N_P_AU_TRN_N_20230607,BDW,,,000_005,"Malone, B. (2023). Soil and Landscape Grid National Soil Attribute Maps - Bulk Density - Whole Earth - Release 2. Version 2. TERN. https://doi.org/10.25919/gxyn-pd07",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/BDW/v2/BDW_000_005_EV_N_P_AU_TRN_N_20230607.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/BDW/v2/BDW_000_005_EV_N_P_AU_TRN_N_20230607.json,,,06f2afba5015a4b79c311dae7706ec6833e934b87f1683e38646409def30844d,92d940adbcd1d201e3749a814eb5966294e213ef96756fcc28acde0458d2beea,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,BDW_005_015_EV_N_P_AU_TRN_N_20230607,BDW,,,005_015,"Malone, B. (2023). Soil and Landscape Grid National Soil Attribute Maps - Bulk Density - Whole Earth - Release 2. Version 2. TERN. https://doi.org/10.25919/gxyn-pd07",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/BDW/v2/BDW_005_015_EV_N_P_AU_TRN_N_20230607.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/BDW/v2/BDW_005_015_EV_N_P_AU_TRN_N_20230607.json,,,18eb12091556cfb8cc9a1b5460c50685f187869edd5843531898a2155382bb6d,1790527ae989aac86907629a66e66f72e54dbdb73b5bbb3acd7eb9dcb0240793,Exact frozen acquisition/provenance row from accepted Stage5A manifest
TERN_SLGA_R2,PHC_000_005_EV_N_P_AU_NAT_C_20210913,PHC,,,000_005,"Malone, B. & Searle, R. (2024). Soil and Landscape Grid National Soil Attribute Maps - pH - Calcium Chloride (3"" resolution) - Release 2. Version 2. TERN. https://doi.org/10.25919/7320-hw30",https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/pHc/v2/PHC_000_005_EV_N_P_AU_NAT_C_20210913.tif,https://data.tern.org.au/model-derived/slga/NationalMaps/SoilAndLandscapeGrid/pHc/v2/PHC_000_005_EV_N_P_AU_NAT_C_20210913.json,,,21b419353131a48990e5be92674cd375abace27d071f4e6095ad26f72974a03b,3fe00284324e7081f6effe120bfb1c3622ffaaecc393970eb446f03445573c26,Exact frozen acquisition/provenance row from accepted Stage5A manifest
