stage_folder,source_archive,status,sha256_or_inventory_aggregate,source_archive_bytes,files_extracted
01_stage1_cleaner,GeoDose_Stage1_Minimum_Cleaner_v1_1.zip,INCLUDED,35bbef3694124c8d5abf2c9d75e43e21fdee0058aa46a2ee34f8666098f3e0c9,25410,5
02_stage2a_grid_graph,GeoDose_Stage2A_Block_Builder.zip,INCLUDED,f98522cdf764607137d781281bf65bc539b3d8b02f55443fb2a18c34a5d0a584,38543,5
03_stage2b_dea,GeoDose_Stage2B_Local_STAC_v1_2.zip,INCLUDED,92a68dfd710fa61ff04c34580e7e069d323afb8f8fa0d6df810dc429ba39699a,9084203,10
04_stage3a_registry,GeoDose_Stage3A_Registry_Generator_v1_3_1_FREEZE.zip,INCLUDED,d91a5d5d4627744eca11c0d7b7f89f63b9ce48db003fc08298c69115a44aa1fd,6493501,13
05_stage3b_controlled_generator,GeoDose_Stage3B_Controlled_Generator_v1_2_FREEZE.zip,INCLUDED,25ccf20697b1289019fbd6570171648080511c916af420107501163c67ef475d,502967,14
06_stage3c_reference_baselines,GeoDose_Stage3C_Reference_Baselines_v1_1_FREEZE.zip,INCLUDED,4e206f5b8dca9367a68dc986602591870c4dfe2ef4b38b39a7076916578a3fb0,13273929,18
07_stage3d_d1_exact_orbit,GeoDose_Stage3D_D1_v1_1.zip,INCLUDED,bab29693fe8aa4baf41e9d18c8a233ef23c2277e0ee20eec91dd4fe844467982,124674207,32
08_stage3d_d2_candidate_inversion,GeoDose_Stage3D_D2_G3_Candidate_Inversion_v1_2_FREEZE.zip,INCLUDED,9ce3b8ab99ea6ebcb4471fa46a50a6edea40a62343b44583a13ef87e12e9f0c6,45520594,31
09_stage3d_d3_exact_integration,GeoDose_Stage3D_D3_M1_M6_Exact_Integration_v1_0_1.zip,INCLUDED,ead27182709c614a860871d273284e8fdb82b71532b86599f59a530cd391868b,94742,41
10_stage3d_d4_nuisance_integration,GeoDose_Stage3D_D4_M6_NewData_Nuisance_Integration_v1_1_0.zip,INCLUDED,978bd5273de50ec18763141917d1ff4db23337e69736c17cf5fa26bc0b9ccd5f,117172,38
11_stage3e_n2_n3_sparse,GeoDose_Stage3E_N2_N3_Scalable_Certification_v1_0.zip,INCLUDED,6340d22dd25e2118b963494f6b2f4a7c647b73a7c98c2d57e2e8c7481c06d4d2,66647,30
12_stage3f_pilot,GeoDose_Stage3F_Pilot_S1_S10_20Rep_Threshold_Freeze_v1_0.zip,INCLUDED,af4ca01aee8ffa25cc3762aaab82337f210fdc0d6fb1518b21b3d5ca8e1664ef,67271,24
13_stage4_controlled_production,GeoDose_Stage4_Production_F06_Ablation_Efficiency_v1_0.zip,INCLUDED,6ac416e1ea18a385e86c200333b96ffee0f0eeba9320f7db56a781ccfd5c168d,89738,32
14_stage5a_external_context,GeoDose_Stage5A_External_Context_Production_v1_0_1_FREEZE_CANDIDATE.zip,INCLUDED,67ab7dee1464f13f38dcddd7720ded29cda6104c6317827ed9ab4693bd73a0c6,66917019,44
15_stage5b_minedosebench_evaluation,G5B.zip,INCLUDED,f5be2561d5cdc4b0c109ccc2ed6ee6b08782fb8f99495e37c375801aefdd6a2d,137105399,45
16_stage5c_postfreeze_closure,GeoDose_Stage5C_PostFreeze_Closure_v1_0_0_DIRECT_RUN.zip,INCLUDED,f8cb5481a948384c8050aefc753c68694b6561f3428d6bf743349afa867cb68e,46075351,7
17_stage6a_nsw_real,GeoDose_Stage6A_NSW_Real_Demonstration_v1_0_0_FREEZE_CANDIDATE.zip,INCLUDED,93a2841f45af37fe4733812ae16a340c5f31b38e40a5762c0562c9092003036a,47964916,34
14b_stage5a_minedosebench_v1_2_verified_recovery,v1.2 source inventory embedded in G5B release,PARTIAL_BYTE_EXACT_RECOVERY,6871612efea60b4def1f6423142e073aceff3006531ccb9484443f394a83120a,,17
